code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP3889305;;21 rue FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.365129;48.912926;https://fiches-risques.brgm.fr/georisques/casias/SSP3889305
SSP3889306;;23 rue FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3650882;48.91331;https://fiches-risques.brgm.fr/georisques/casias/SSP3889306
SSP3889307;;27 rue des FILLETTES;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.365184;48.91368;https://fiches-risques.brgm.fr/georisques/casias/SSP3889307
SSP3889324;;6 rue MONTJOIE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3608575;48.91062;https://fiches-risques.brgm.fr/georisques/casias/SSP3889324
SSP3889325;;9 rue CRISTINO GARCIA;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3656766;48.916325;https://fiches-risques.brgm.fr/georisques/casias/SSP3889325
SSP3889326;;6 rue CRISTINO GARCIA ex 6 chemin de la JUSTICE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3656633;48.91683;https://fiches-risques.brgm.fr/georisques/casias/SSP3889326
SSP3889327;;14 rue CRISTINO GARCIA;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.364954;48.91728;https://fiches-risques.brgm.fr/georisques/casias/SSP3889327
SSP3889328;;"3 rue HENRI MURGER; 17 rue CRISTINO GARCIA";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3647487;48.916073;https://fiches-risques.brgm.fr/georisques/casias/SSP3889328
SSP3889329;;22 rue CRISTINO GARCIA;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3642445;48.91725;https://fiches-risques.brgm.fr/georisques/casias/SSP3889329
SSP3889330;;28 rue CRISTINO GARCIA;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3636985;48.916916;https://fiches-risques.brgm.fr/georisques/casias/SSP3889330
SSP3889331;;28 rue CRISTINO GARCIA;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3634942;48.917618;https://fiches-risques.brgm.fr/georisques/casias/SSP3889331
SSP3889348;;32 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3631544;48.920048;https://fiches-risques.brgm.fr/georisques/casias/SSP3889348
SSP3889349;;16 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3636727;48.91987;https://fiches-risques.brgm.fr/georisques/casias/SSP3889349
SSP3889350;;12 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3636591;48.920048;https://fiches-risques.brgm.fr/georisques/casias/SSP3889350
SSP3889351;;16 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.364137;48.919994;https://fiches-risques.brgm.fr/georisques/casias/SSP3889351
SSP3889407;;6 rue AMPERE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3400662;48.921703;https://fiches-risques.brgm.fr/georisques/casias/SSP3889407
SSP3889352;;"26 rue FRANCIS DE PRESSENSE ; 33 à 37 rue PAUL LAFARGUE";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3663888;48.920765;https://fiches-risques.brgm.fr/georisques/casias/SSP3889352
SSP3889353;;18 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3652694;48.920208;https://fiches-risques.brgm.fr/georisques/casias/SSP3889353
SSP3889354;;29 rue PAUL LAFARGUE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3648467;48.920498;https://fiches-risques.brgm.fr/georisques/casias/SSP3889354
SSP3889363;;7 Chemin FRUITIERS des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.353929;48.91694;https://fiches-risques.brgm.fr/georisques/casias/SSP3889363
SSP3889364;;2 rue LANGLIER RENAUD;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.357026;48.916615;https://fiches-risques.brgm.fr/georisques/casias/SSP3889364
SSP3889365;;6 rue LANGLIER RENAUD;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3566306;48.916595;https://fiches-risques.brgm.fr/georisques/casias/SSP3889365
SSP3889366;;13 rue LANGLIER RENAUD;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3552113;48.91637;https://fiches-risques.brgm.fr/georisques/casias/SSP3889366
SSP3889367;;137 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3567638;48.908752;https://fiches-risques.brgm.fr/georisques/casias/SSP3889367
